monster	display_name	boss	level	health	mana	actions	draw	preferred_starting_cards	starting_equipment	rule_deck	generated_attack_slots	generated_attack_cards	final_deck	health_source
AkamiMuckcaller	Akami Muckcaller	False	4	15	6	2	2		ShockTotem	ShockTotem,Slow,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt	8	Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	ShockTotem,Slow,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiMuckcaller	Akami Muckcaller	False	5	20	6	2	2		ShockTotem	ShockTotem,Solidify,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	ShockTotem,Solidify,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiMuckcaller	Akami Muckcaller	False	6	30	6	2	2		ShockTotem	ShockTotem,Solidify,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt,FrostCharge,Blizzard	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	ShockTotem,Solidify,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt,FrostCharge,Blizzard,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
AkamiMuckcaller	Akami Muckcaller	False	7	40	6	2	2		ShockTotem	ShockTotem,Solidify,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt,FrostCharge,Blizzard,ShockTotem	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	ShockTotem,Solidify,ManaSurge,ManaSurge,Shock,Blizzard,FrostBolt,FrostCharge,Blizzard,ShockTotem,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
AkamiShaman	Akami Shaman	False	1	4	0	2	2		ManaTotem	ManaTotem,Fireball,Fireball,Mana2,Mana2,Mana2,Mana2,Slow,Slow	5	Attack1,Attack1,Attack1,Attack1,Attack1	ManaTotem,Fireball,Fireball,Mana2,Mana2,Mana2,Mana2,Slow,Slow,Attack1,Attack1,Attack1,Attack1,Attack1	HealthValue * health_mult
AkamiShaman	Akami Shaman	False	2	7	0	2	2		ManaTotem	ManaTotem,Fireball,Fireball,Salve,Salve,Mana2,Mana2,Slow,Slow	5	Attack1,Attack1,Attack1,Attack1,Attack2	ManaTotem,Fireball,Fireball,Salve,Salve,Mana2,Mana2,Slow,Slow,Attack1,Attack1,Attack1,Attack1,Attack2	HealthValue * health_mult
AkamiShaman	Akami Shaman	False	3	10	0	2	2		ManaTotem	ManaTotem,Fireball,Fireball,Salve,Salve,FlameCharge,Mana2,Solidify,Slow	8	Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2	ManaTotem,Fireball,Fireball,Salve,Salve,FlameCharge,Mana2,Solidify,Slow,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiShaman	Akami Shaman	False	4	15	0	2	2		ManaTotem	ManaTotem,Fireball,Fireball,Salve,Salve,FlameCharge,FlameCharge,Solidify,Slow	8	Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	ManaTotem,Fireball,Fireball,Salve,Salve,FlameCharge,FlameCharge,Solidify,Slow,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiStormcaller	Akami Stormcaller	False	4	15	0	2	2		HasteTotem	HasteTotem,StormStab,StormStab,Dice	12	Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HasteTotem,StormStab,StormStab,Dice,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiStormcaller	Akami Stormcaller	False	5	20	0	2	2		HasteTotem	HasteTotem,StormStab,StormStab,Dice	14	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HasteTotem,StormStab,StormStab,Dice,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
AkamiStormcaller	Akami Stormcaller	False	6	30	0	2	2		HasteTotem	HasteTotem,StormStab,StormStab,Dice,StormStab	14	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HasteTotem,StormStab,StormStab,Dice,StormStab,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
AkamiStormcaller	Akami Stormcaller	False	7	40	0	2	2		HasteTotem	HasteTotem,StormStab,StormStab,Dice,StormStab	17	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HasteTotem,StormStab,StormStab,Dice,StormStab,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Banshee	Banshee	False	5	20	0	1	2	Scream		Scream,Scream,Scream,DrainLife,DrainLife	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Scream,Scream,Scream,DrainLife,DrainLife,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Banshee	Banshee	False	6	30	0	1	2	Scream		Scream,Scream,Scream,DrainLife,DrainLife,DrainLife	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	Scream,Scream,Scream,DrainLife,DrainLife,DrainLife,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
Banshee	Banshee	False	7	40	0	1	2	Scream		Scream,Scream,Scream,DrainLife,DrainLife,DrainLife	16	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Scream,Scream,Scream,DrainLife,DrainLife,DrainLife,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
BlackDragon	Shadow Dragon	False	8	55	0	1	2	AcidBreath,DragonScales2,DragonScales		Infect3,Infect3,Infect3,Infect3,Infect3,Infect3,AcidBreath,AcidBreath,AcidBreath,DragonScales,DragonsRoar,DragonsRoar,DragonsRoar,DragonScales	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	Infect3,Infect3,Infect3,Infect3,Infect3,Infect3,AcidBreath,AcidBreath,AcidBreath,DragonScales,DragonsRoar,DragonsRoar,DragonsRoar,DragonScales,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
BlackDragon	Shadow Dragon	False	9	70	0	1	2	AcidBreath,DragonScales2,DragonScales		Infect3,Infect3,Infect3,Infect3,Infect3,Infect3,AcidBreath,AcidBreath,AcidBreath,DragonScales2,DragonsRoar,DragonsRoar,DragonsRoar,DragonScales	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Infect3,Infect3,Infect3,Infect3,Infect3,Infect3,AcidBreath,AcidBreath,AcidBreath,DragonScales2,DragonsRoar,DragonsRoar,DragonsRoar,DragonScales,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
BlackDragon	Shadow Dragon	False	10	85	0	1	2	AcidBreath,DragonScales2,DragonScales		Infect3,Infect3,Infect3,Infect3,Infect3,Infect3,AcidBreath,AcidBreath,AcidBreath,DragonScales2,DragonsRoar,DragonsRoar,DragonsRoar,DragonScales2,DragonsRoar	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	Infect3,Infect3,Infect3,Infect3,Infect3,Infect3,AcidBreath,AcidBreath,AcidBreath,DragonScales2,DragonsRoar,DragonsRoar,DragonsRoar,DragonScales2,DragonsRoar,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
Brownie	Brownie	False	4	15	0	1	2			SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell	13	Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Brownie	Brownie	False	5	20	0	1	2			SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell	15	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Brownie	Brownie	False	6	30	0	1	2			SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell	15	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
Brownie	Brownie	False	7	40	0	1	2			SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell	18	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	SpriteStab,SpriteStab,SpriteStab,Counterspell,Counterspell,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
ChromaticDemon	Chromatic Demon	True	7	80	5	2	3			FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain	15	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
ChromaticDemon	Chromatic Demon	True	8	110	5	2	3			FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Inspiration	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Inspiration,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
ChromaticDemon	Chromatic Demon	True	9	140	5	2	3			FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Inspiration,Freeze,Conflagration,Storm,Blight	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Inspiration,Freeze,Conflagration,Storm,Blight,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
ChromaticDemon	Chromatic Demon	True	10	170	5	2	3			FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Inspiration,Freeze,Conflagration,Storm,Blight,ManaSwell	18	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	FlameCharge,FrostCharge,VileCharge,StaticCharge,Fireball,FrostBolt,Shock,AcidLance,EarthShape,FrostShape,FireShape,StormShape,FlameSlash3,FrostSlash3,StormSlash3,CorrosiveSlash3,ManaSurge,ManaSurge,Electrocute,Meteor,Blizzard,AcidRain,Inspiration,Freeze,Conflagration,Storm,Blight,ManaSwell,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
Clone	Clone	False	4	19	15	1	2				8	Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Clone	Clone	False	5	25	15	1	2				10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Clone	Clone	False	6	38	15	1	2				10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
Clone	Clone	False	7	51	15	1	2				13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
CumuloNimbus	Cumulo Nimbus	True	4	30	0	1	2	Zap		Zap,Zap,LightningStrike	11	Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Zap,Zap,LightningStrike,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
CumuloNimbus	Cumulo Nimbus	True	5	40	0	1	2	Zap		Zap,Zap,LightningStrike	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Zap,Zap,LightningStrike,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
CumuloNimbus	Cumulo Nimbus	True	6	60	0	1	2	Zap		Zap,Zap,LightningStrike,LightningStrike	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	Zap,Zap,LightningStrike,LightningStrike,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
CumuloNimbus	Cumulo Nimbus	True	7	80	0	1	2	Zap		Zap,Zap,LightningStrike,LightningStrike,LightningStrike,BalefulGaze	16	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Zap,Zap,LightningStrike,LightningStrike,LightningStrike,BalefulGaze,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Demon	Demon	False	7	40	0	1	2			Corrupt,Corrupt,Corrupt	17	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Corrupt,Corrupt,Corrupt,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Demon	Demon	False	8	55	0	1	2			Corrupt,Corrupt,Corrupt,Corrupt	17	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	Corrupt,Corrupt,Corrupt,Corrupt,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
Demon	Demon	False	9	70	0	1	2			Corrupt,Corrupt,Corrupt,Corrupt	17	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Corrupt,Corrupt,Corrupt,Corrupt,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Demon	Demon	False	10	85	0	1	2			Corrupt,Corrupt,Corrupt,Corrupt	19	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	Corrupt,Corrupt,Corrupt,Corrupt,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
DiscipleOfChaos	Disciple of Chaos	False	1	4	0	1	2			ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike	5	Attack1,Attack1,Attack1,Attack1,Attack1	ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,Attack1,Attack1,Attack1,Attack1,Attack1	HealthValue * health_mult
DiscipleOfChaos	Disciple of Chaos	False	2	7	0	1	2			ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike	5	Attack1,Attack1,Attack1,Attack1,Attack2	ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,Attack1,Attack1,Attack1,Attack1,Attack2	HealthValue * health_mult
